DWT,mmsi
,411041792
,3
,411041797
,229376006
,413794311
,411041798
,411041799
,411041801
,10
,413794316
,13
,7
,8
,411041800
,411041809
,411041802
,413794323
,20
,411041813
,411041814
,22
,23
,25
,26
,413794331
,28
,24
,413794334
,411041816
,197132313
,413794337
,34
,411041818
,411041828
,29
,38
,39
,40
,32
,42
,35
,413270060
,413270061
,44
,41
,48
,411041835
,45
,51
,46
,413794357
,413270070
,413270071
,53
,55
,56
,57
,58
,60
,413270078
,413270079
,61
,62
,63
,413794371
,413794372
,411041852
,413794365
"81,100",209191000
,949616730
,209191004
,411041811
,413532260
,413532261
,700055660
,413532269
,413794416
,413532280
,120
,413270140
,413794429
,413270142
,413270141
,413270143
,413270150
,413270151
,27
,413794439
,413270158
,413270159
,413270160
,413270162
,413270166
,413270167
,30
,210895002
,413270170
,31
,210895007
,33
,371065001
,371065003
,413794479
,413794483
,413794485
,36
,37
,413401278
,413794498
,414712003
,413794502
,414712006
"28,300",314573000
,414712009
,413794503
,414712011
,414712014
,414712015
,414712019
,413794516
,413794533
,413794535
,440140009
,47
,440140013
,411041839
,413794545
,49
,411041841
,50
,413270270
,413270271
,411041843
,413401350
,52
,413794566
,413794569
,413794571
"53,500",636092690
,563872019
,636092691
,413794583
,413794591
,59
,413401391
,413532471
,413794616
,413794617
,413270330
,413794619
,413401406
,413401407
,413794626
,413794627
"1,700",413270350
,636092751
"75,100",414450000
75054,414450000
4998,413794641
,414450001
,413270351
,414450002
,414450005
,414450003
,414450004
,636092759
,413532505
,414450010
,413794651
,413794649
,413794653
,414450014
,414450015
,312476000
,413794657
,413794659
,312476015
,621150576
,413794673
1500,413794688
,370672001
,413794693
,370672007
,352453001
,352453003
"118,500",636092816
,413794704
,413794706
,636092823
,413794712
,352453018
,352453019
,413794722
,413532580
,413794725
,413532582
,413532583
,413532581
,413794727
,413532588
,413532589
,413532590
,413532591
,413794735
,413532596
,413532597
,413532598
,413532599
,413794752
,413794753
,413794755
10670,413794758
,413794759
,636092870
,477233608
,477233609
,413532620
,352322001
,413794776
,413794777
"57,700",412353000
,413794794
,413270511
,413794801
,413794805
,413794813
,413270526
,413270527
"28,700",374080000
,413794817
,456000004
,413794822
"46,500",372245000
,372245002
,372245006
,636092942
,413794838
,372245016
,636092957
,413794845
,213254687
,413794847
,413794855
,413794857
"82,600",636092972
,413794861
"95,600",636092977
,413794883
,413794884
,636093011
,413794904
,413794918
,413794921
,636093038
,413794927
57630,413926000
,413926001
,413926002
,413794928
19000,636093043
,413794933
,413926006
,413926007
,413270650
,413270651
"92,700",636093050
,413794941
,413794939
,477233800
,477233802
,477233803
,477233804
,477233805
,477233806
,636093077
,413794968
,477233817
"50,100",355599000
,355599007
"100,000",636093090
"40,300",636093092
,413794981
,413794983
,413794986
,413794987
,413794989
,413794994
"25,400",413795000
25435,413795000
,413795001
1763,413795002
,413795013
,636093129
,215352011
,413795023
,413270750
,413270751
,413795039
,413795042
,413795043
,412353250
"48,400",566625000
,636093172
,413270779
,636093183
,413270791
,215221000
,413795079
,413270798
,413401880
,413795097
,413401884
,412084015
,636093226
,636093231
,700056387
,413795141
,413795145
,413795148
,413795154
,413795159
,229639001
"51,500",357041000
,357041001
,357041002
,413795188
1889,413795191
,357041018
,413795201
,413795202
,413795216
,413270930
,413270931
,413795219
,413270935
,413270938
,413270942
,413270943
,413795233
,413270951
,413795241
,413795248
,413795253
,413795265
,413795272
"55,600",351405000
,413795278
,413795279
,412877777
,413795282
,413795302
,413795307
,413271020
,413271021
,413271022
,413271023
"178,400",477103100
,413271037
,413271036
,413795325
,413795326
,413795327
,413271038
,413795331
,413271039
,413795333
,477103102
,413271040
,413795334
,413795339
,413795343
,413795344
,413795346
,564266005
,413795351
,413271070
,413271071
"57,600",413140000
,413140001
,413140002
,414319646
,413795359
,412353570
,413140003
,413140006
,413271080
,413271081
,413271082
,413271083
,413271084
,413271085
,413140007
,413140009
,413140012
,413271086
,413271087
,413140018
,413140015
,413140017
,413795379
,413140019
,413271096
,413271097
,412091449
,413271099
,413271098
,413795394
,413795406
,414844000
,414844001
,413795427
,249169002
,413795437
,413795442
,413795473
,413795476
,413271190
,413271191
,413795482
,413795484
1073,413402270
,413402271
,414713001
,414713007
,413795509
,414713018
,413271230
10300,352978119
,413795535
72270,413271250
,413795546
,440141018
,440141019
27000,352978148
"75,800",414582000
,414582001
,413271282
,413271281
,414582002
"182,300",352978164
4951,352978164
,414582012
,414582013
,414582014
,413271295
,413795581
"75,500",352978174
7400,312608000
,312608003
,312608005
,312608013
,312608014
,413402382
,312608017
,312608018
,352978199
,372639002
,372639006
,413271330
,413271331
,413271334
,413271335
,101188904
,413795625
,413271338
,413271339
,413795626
,413271342
,413271343
,412353840
,413271346
,413271347
,413795634
,414451002
,412353850
,414451003
,413795645
,412353851
,412353854
28366,413271360
28366,413271360
,352978241
"3,200",413402440
,413402441
,413402442
,413402443
,88212812
,413402444
,413402446
,413402447
,413402445
,413795665
,352978257
,413271380
,413795669
,413271382
,413402456
,413402457
,413402459
,352978267
,413271388
,352978271
"36,400",356124000
,356124001
,413533540
,413533541
,413533542
,413795685
,413533543
,354289001
,413533548
,413533549
,413533550
,413533551
,413533556
,413533557
